Tempo total de execução: 28912 ms.
Total de funções monitoradas: 11
gpp::basic_client::connect: Tempo total: 220, Total de invocações: 1
gpp::basic_client::pollNet: Tempo total: 106, Total de invocações: 5292
gpp::event::event: Tempo total: 0, Total de invocações: 10
gpp::basic_peer::sendReliable: Tempo total: 0, Total de invocações: 12
gpp::basic_peer::makePing: Tempo total: 0, Total de invocações: 10
gpp::event::~event: Tempo total: 0, Total de invocações: 10
gpp::basic_peer::updateCon: Tempo total: 0, Total de invocações: 2
gpp::basic_client::dispatchEvent: Tempo total: 40, Total de invocações: 10
gpp::basic_peer::sendAndWait: Tempo total: 41, Total de invocações: 2
gpp::basic_peer::disconnect: Tempo total: 0, Total de invocações: 1
client_loop: Tempo total: 28876, Total de invocações: 1
