Info: Vdir: 0.000000:0.000000:0.000000, fa:0, fa2:0.000000:0.000000:0.000000
Info: Vdir: 1.000000:-0.000000:-0.000000, fa:0.0012029511, fa2:0.001203:-0.000000:-0.000000
Info: Vdir: 1.000000:-0.000031:-0.000031, fa:0.004810613, fa2:0.004811:-0.000000:-0.000000
Info: Vdir: 1.000000:-0.000062:-0.000062, fa:0.010820332, fa2:0.010820:-0.000001:-0.000001
Info: Vdir: 1.000000:-0.000103:-0.000103, fa:0.0192271, fa2:0.019227:-0.000002:-0.000002
Info: Vdir: 1.000000:-0.000156:-0.000156, fa:0.030023575, fa2:0.030024:-0.000005:-0.000005
Info: Vdir: 1.000000:-0.000222:-0.000222, fa:0.043200053, fa2:0.043200:-0.000010:-0.000010
Info: Vdir: 1.000000:-0.000301:-0.000301, fa:0.058744557, fa2:0.058745:-0.000018:-0.000018
Info: Vdir: 1.000000:-0.000394:-0.000394, fa:0.0766428, fa2:0.076643:-0.000030:-0.000030
Info: Vdir: 1.000000:-0.000500:-0.000500, fa:0.09687825, fa2:0.096878:-0.000048:-0.000048
Info: Vdir: 1.000000:-0.000619:-0.000619, fa:0.11943212, fa2:0.119432:-0.000074:-0.000074
Info: Vdir: 1.000000:-0.000752:-0.000752, fa:0.14428349, fa2:0.144283:-0.000108:-0.000108
Info: Vdir: 0.999999:-0.000898:-0.000898, fa:0.17140923, fa2:0.171409:-0.000154:-0.000154
Info: Vdir: 0.999999:-0.001057:-0.001057, fa:0.20078416, fa2:0.200784:-0.000212:-0.000212
Info: Vdir: 0.999999:-0.001230:-0.001230, fa:0.23238102, fa2:0.232381:-0.000286:-0.000286
Info: Vdir: 0.999998:-0.001415:-0.001415, fa:0.2661706, fa2:0.266170:-0.000377:-0.000377
Info: Vdir: 0.999998:-0.001614:-0.001614, fa:0.30212164, fa2:0.302121:-0.000488:-0.000488
Info: Vdir: 0.999997:-0.001827:-0.001827, fa:0.3402012, fa2:0.340200:-0.000621:-0.000621
Info: Vdir: 0.999996:-0.002052:-0.002052, fa:0.3803743, fa2:0.380373:-0.000780:-0.000780
Info: Vdir: 0.999995:-0.002290:-0.002290, fa:0.42260444, fa2:0.422602:-0.000968:-0.000968
Info: Vdir: 0.999994:-0.002541:-0.002541, fa:0.4668533, fa2:0.466850:-0.001186:-0.001186
Info: Vdir: 0.999992:-0.002805:-0.002805, fa:0.513081, fa2:0.513077:-0.001439:-0.001439
Info: Vdir: 0.999991:-0.003082:-0.003082, fa:0.5612463, fa2:0.561241:-0.001730:-0.001730
Info: Vdir: 0.999989:-0.003371:-0.003371, fa:0.6113062, fa2:0.611299:-0.002061:-0.002061
Info: Vdir: 0.999987:-0.003673:-0.003673, fa:0.6632166, fa2:0.663208:-0.002436:-0.002436
Info: Vdir: 0.999984:-0.003987:-0.003987, fa:0.7169319, fa2:0.716921:-0.002859:-0.002859
Info: Vdir: 0.999982:-0.004314:-0.004314, fa:0.7724057, fa2:0.772391:-0.003332:-0.003332
Info: Vdir: 0.999978:-0.004653:-0.004653, fa:0.8295899, fa2:0.829572:-0.003860:-0.003860
Info: Vdir: 0.999975:-0.005004:-0.005004, fa:0.8884359, fa2:0.888414:-0.004446:-0.004446
Info: Vdir: 0.999971:-0.005367:-0.005367, fa:0.948894, fa2:0.948867:-0.005093:-0.005093
Info: Vdir: 0.999967:-0.005743:-0.005743, fa:1.0109135, fa2:1.010880:-0.005805:-0.005805
Info: Vdir: 0.999963:-0.006130:-0.006130, fa:1.0744431, fa2:1.074403:-0.006586:-0.006586
Info: Vdir: 0.999958:-0.006528:-0.006528, fa:1.1394306, fa2:1.139382:-0.007439:-0.007439
Info: Vdir: 0.999952:-0.006939:-0.006939, fa:1.2058235, fa2:1.205766:-0.008367:-0.008367
Info: Vdir: 0.999946:-0.007361:-0.007361, fa:1.2735686, fa2:1.273500:-0.009374:-0.009374
Info: Vdir: 0.999939:-0.007794:-0.007794, fa:1.3426125, fa2:1.342531:-0.010464:-0.010464
Info: Vdir: 0.999932:-0.008238:-0.008238, fa:1.412901, fa2:1.412805:-0.011639:-0.011639
Info: Vdir: 0.999925:-0.008693:-0.008693, fa:1.4843802, fa2:1.484268:-0.012904:-0.012904
Info: Vdir: 0.999916:-0.009160:-0.009160, fa:1.5569956, fa2:1.556865:-0.014261:-0.014261
Info: Vdir: 0.999907:-0.009637:-0.009637, fa:1.6306927, fa2:1.630541:-0.015714:-0.015714
Info: Vdir: 0.999898:-0.010124:-0.010124, fa:1.7054173, fa2:1.705243:-0.017266:-0.017266
Info: Vdir: 0.999887:-0.010623:-0.010623, fa:1.7811146, fa2:1.780914:-0.018920:-0.018920
Info: Vdir: 0.999876:-0.011131:-0.011131, fa:1.8577305, fa2:1.857500:-0.020679:-0.020679
Info: Vdir: 0.999864:-0.011650:-0.011650, fa:1.9352111, fa2:1.934949:-0.022545:-0.022545
Info: Vdir: 0.999852:-0.012179:-0.012179, fa:2.0135024, fa2:2.013204:-0.024522:-0.024522
Info: Vdir: 0.999838:-0.012717:-0.012717, fa:2.092551, fa2:2.092213:-0.026612:-0.026612
Info: Vdir: 0.999824:-0.013266:-0.013266, fa:2.172304, fa2:2.171922:-0.028817:-0.028817
Info: Vdir: 0.999809:-0.013824:-0.013824, fa:2.2527087, fa2:2.252278:-0.031141:-0.031141
Info: Vdir: 0.999793:-0.014391:-0.014391, fa:2.3337126, fa2:2.333230:-0.033585:-0.033585
Info: Vdir: 0.999776:-0.014968:-0.014968, fa:2.4152648, fa2:2.414724:-0.036151:-0.036151
Info: Vdir: 0.999758:-0.015553:-0.015553, fa:2.4973142, fa2:2.496710:-0.038842:-0.038842
Info: Vdir: 0.999739:-0.016148:-0.016148, fa:2.5798113, fa2:2.579139:-0.041659:-0.041659
Info: Vdir: 0.999720:-0.016752:-0.016752, fa:2.6627057, fa2:2.661959:-0.044604:-0.044604
Info: Vdir: 0.999699:-0.017364:-0.017364, fa:2.7459493, fa2:2.745121:-0.047679:-0.047679
Info: Vdir: 0.999677:-0.017984:-0.017984, fa:2.829494, fa2:2.828579:-0.050886:-0.050886
Info: Vdir: 0.999654:-0.018613:-0.018613, fa:2.9132934, fa2:2.912284:-0.054224:-0.054224
Info: Vdir: 0.999630:-0.019250:-0.019250, fa:2.9973013, fa2:2.996191:-0.057697:-0.057697
Info: Vdir: 0.999604:-0.019894:-0.019894, fa:3.0814724, fa2:3.080253:-0.061304:-0.061304
Info: Vdir: 0.999578:-0.020547:-0.020547, fa:3.1657627, fa2:3.164426:-0.065046:-0.065046
Info: Vdir: 0.999550:-0.021207:-0.021207, fa:3.2501287, fa2:3.248667:-0.068925:-0.068925
Info: Vdir: 0.999521:-0.021874:-0.021874, fa:3.3345292, fa2:3.332934:-0.072941:-0.072941
Info: Vdir: 0.999492:-0.022549:-0.022549, fa:3.418922, fa2:3.417184:-0.077094:-0.077094
Info: Vdir: 0.999460:-0.023231:-0.023231, fa:3.503268, fa2:3.501377:-0.081385:-0.081385
Info: Vdir: 0.999428:-0.023920:-0.023920, fa:3.587528, fa2:3.585475:-0.085813:-0.085813
Info: Vdir: 0.999394:-0.024615:-0.024615, fa:3.6716645, fa2:3.669440:-0.090379:-0.090379
Info: Vdir: 0.999359:-0.025317:-0.025317, fa:3.75564, fa2:3.753232:-0.095082:-0.095082
Info: Vdir: 0.999322:-0.026026:-0.026026, fa:3.8394198, fa2:3.836818:-0.099923:-0.099923
Info: Vdir: 0.999285:-0.026740:-0.026740, fa:3.922969, fa2:3.920163:-0.104901:-0.104901
Info: Vdir: 0.999246:-0.027461:-0.027461, fa:4.0062537, fa2:4.003232:-0.110016:-0.110016
Info: Vdir: 0.999205:-0.028188:-0.028188, fa:4.0892434, fa2:4.085993:-0.115266:-0.115266
Info: Vdir: 0.999163:-0.028920:-0.028920, fa:4.171906, fa2:4.168416:-0.120651:-0.120651
Info: Vdir: 0.999120:-0.029658:-0.029658, fa:4.254211, fa2:4.250468:-0.126170:-0.126170
Info: Vdir: 0.999075:-0.030401:-0.030401, fa:4.3361306, fa2:4.332122:-0.131822:-0.131822
