Nome, Tempo Total, Execuções, Unidade
gpp::aabbInsideAll, 104789600.00, 525832, Nanosegundos
gpp::aabbOverlap, 148902304.00, 824001, Nanosegundos
gpp::collisionBoxSphere, 8822800.00, 25203, Nanosegundos
gpp::degrees_to_radians, 5100.00, 78, Nanosegundos
gpp::getCollisionId, 4917600.00, 25203, Nanosegundos
gpp::gpp_world::addBody, 186700.00, 26, Nanosegundos
gpp::gpp_world::broadPhase, 1001945408.00, 1869, Nanosegundos
gpp::gpp_world::dispatchCollisions, 2694800.00, 1869, Nanosegundos
gpp::gpp_world::integrateBodies, 501594304.00, 1869, Nanosegundos
gpp::gpp_world::internalUpdate, 1862695040.00, 1869, Nanosegundos
gpp::gpp_world::narrowPhase, 35607100.00, 1869, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 43949700.00, 1869, Nanosegundos
gpp::gpp_world::solveCollisions, 251157792.00, 1869, Nanosegundos
gpp::gpp_world::solvePair, 231559200.00, 25300, Nanosegundos
gpp::octree::broadPhase, 999115776.00, 1869, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 944840000.00, 48594, Nanosegundos
gpp::octree::create, 10800.00, 1, Nanosegundos
gpp::octree::insert, 168900.00, 26, Nanosegundos
gpp::octree::traverse, 1369507456.00, 27098, Nanosegundos
