Nome, Tempo médio, Execuções, Menor Tempo, Maior Tempo, Unidade
gpp::degrees_to_radians, 42.00, 153, 0, 300, Nanosegundos
gpp::octree::create, 21600.00, 1, 21600, 21600, Nanosegundos
gpp::octree::broadPhase, 2293659.00, 2018, 232600, 8147000, Nanosegundos
gpp::gpp_world::integrateBodies, 328723.00, 2018, 35000, 1450900, Nanosegundos
gpp::getCollisionId, 119.00, 79607, 0, 70700, Nanosegundos
gpp::gpp_world::addBody, 29715.00, 51, 3600, 295900, Nanosegundos
gpp::aabbInsideAll, 116.00, 1557939, 0, 94700, Nanosegundos
gpp::octree::traverse, 66755.00, 76408, 2700, 8144900, Nanosegundos
gpp::octree::insert, 29321.00, 51, 3400, 295100, Nanosegundos
gpp::gpp_world::selectAndPrepareBodies, 19403.00, 2018, 3700, 84800, Nanosegundos
gpp::aabbOverlap, 113.00, 8393190, 0, 141600, Nanosegundos
gpp::octree::broadPhaseAuxiliary, 44295.00, 103173, 200, 730900, Nanosegundos
gpp::gpp_world::broadPhase, 2294493.00, 2018, 233100, 8149100, Nanosegundos
gpp::gpp_world::solveCollisions, 188198.00, 2018, 6100, 837000, Nanosegundos
gpp::collisionBoxSphere, 174.00, 75943, 0, 66000, Nanosegundos
gpp::gpp_world::narrowPhase, 27330.00, 2018, 1100, 130600, Nanosegundos
gpp::gpp_world::solvePair, 4602.00, 76093, 0, 108400, Nanosegundos
gpp::gpp_world::dispatchCollisions, 1406.00, 2018, 200, 7800, Nanosegundos
gpp::gpp_world::internalUpdate, 2867918.00, 2018, 299900, 9999300, Nanosegundos
gpp::collisionSphereSphere, 106.00, 3664, 0, 700, Nanosegundos
